num_qubits,solution_probability,average_theta_angles
6,0.2,28.9091
6,0.5,27.8339
6,0.75,29.6667
6,0.9,30.8596
6,0.95,28.8442
6,1,6.50545
7,0.2,46.5194
7,0.5,50.0952
7,0.75,47.0657
7,0.9,47.4021
7,0.95,46.1673
7,1,8.66316
8,0.2,76.7527
8,0.5,76.3333
8,0.75,78.9401
8,0.9,79.2872
8,0.95,81.9097
8,1,11.8944
9,0.2,137.23
9,0.5,130.392
9,0.75,129.028
9,0.9,121.855
9,0.95,129.605
9,1,14.0385
10,0.2,214.184
10,0.5,215.576
10,0.75,220.431
10,0.9,227.274
10,0.95,213.584
10,1,18.5749
11,0.2,356.904
11,0.5,339.504
11,0.75,351.45
11,0.9,360.064
11,0.95,360.295
11,1,22.3007
12,0.2,630.913
12,0.5,618.976
12,0.75,602.114
12,0.9,602.63
12,0.95,570.452
12,1,29.6048
13,0.2,985.826
13,0.5,957.449
13,0.75,990.5
13,0.9,1035.23
13,0.95,890.927
13,1,34.4602
14,0.2,1765.86
14,0.5,1671.04
14,0.75,1516.13
14,0.9,1679.8
14,0.95,1543.09
14,1,43.1512
15,0.2,2434.47
15,0.5,2840.87
15,0.75,2615.97
15,0.9,2574.22
15,0.95,2261.25
15,1,50.0175
16,0.2,4481.41
16,0.5,4693.35
16,0.75,4388.23
16,0.9,4516.22
16,0.95,4344.01
16,1,62.3196
17,0.2,7151.73
17,0.5,6431.97
17,0.75,7206.15
17,0.9,7241.36
17,0.95,6843.06
17,1,76.9119
18,0.2,11585.6
18,0.5,12974.3
18,0.75,11231
18,0.9,11863.4
18,0.95,10758.3
18,1,88.9184
19,0.2,19533.9
19,0.5,19240.4
19,0.75,19897.9
19,0.9,19114.3
19,0.95,18646.1
19,1,103.828
20,0.2,35407.2
20,0.5,32565.1
20,0.75,33998.2
20,0.9,32259.4
20,0.95,31358.1
20,1,121.608
21,0.2,50663.6
21,0.5,50657.1
21,0.75,52281.7
21,0.9,49105.1
21,0.95,46135.1
21,1,149.804
22,0.2,93857.3
22,0.5,84132.5
22,0.75,104734
22,0.9,83085.1
22,0.95,83337.3
22,1,184.791
