num_qubits,clause_ratio,solution_probability,solution_count,theta_angle_count
6,3.500,0.200,2,22
6,3.500,0.200,2,12
6,3.500,0.200,2,15
6,3.500,0.200,5,40
6,3.500,0.200,3,31
6,3.500,0.200,7,27
6,3.500,0.200,4,26
6,3.500,0.200,5,29
6,3.500,0.200,5,44
6,3.500,0.200,1,25
6,3.500,0.200,1,15
6,3.500,0.200,4,17
6,3.500,0.200,6,27
6,3.500,0.200,1,63
6,3.500,0.200,2,33
6,3.500,0.200,1,63
6,3.500,0.200,2,14
6,3.500,0.200,4,37
6,3.500,0.200,1,30
6,3.500,0.200,4,35
6,3.500,0.200,4,27
6,3.500,0.200,2,21
6,3.500,0.200,1,33
6,3.500,0.200,2,34
6,3.500,0.200,4,21
6,3.500,0.200,4,36
6,3.500,0.200,2,40
6,3.500,0.200,6,35
6,3.500,0.200,4,24
6,3.500,0.200,5,48
6,3.500,0.200,3,30
6,3.500,0.200,5,30
6,3.500,0.200,2,13
6,3.500,0.200,1,19
6,3.500,0.200,3,24
6,3.500,0.200,2,12
6,3.500,0.200,4,46
6,3.500,0.200,6,39
6,3.500,0.200,5,50
6,3.500,0.200,4,50
6,3.500,0.200,9,38
6,3.500,0.200,3,16
6,3.500,0.200,1,15
6,3.500,0.200,3,21
6,3.500,0.200,1,18
6,3.500,0.200,3,33
6,3.500,0.200,1,25
6,3.500,0.200,1,17
6,3.500,0.200,3,48
6,3.500,0.200,3,23
6,3.500,0.200,3,29
6,3.500,0.200,4,39
6,3.500,0.200,2,11
6,3.500,0.200,1,38
6,3.500,0.200,2,17
6,3.500,0.200,1,25
6,3.500,0.200,3,30
6,3.500,0.200,1,22
6,3.500,0.200,5,18
6,3.500,0.200,4,31
6,3.500,0.200,2,48
6,3.500,0.200,5,31
6,3.500,0.200,4,31
6,3.500,0.200,4,9
6,3.500,0.200,2,25
6,3.500,0.200,1,13
6,3.500,0.200,1,19
6,3.500,0.200,2,12
6,3.500,0.200,7,33
6,3.500,0.200,6,39
6,3.500,0.200,1,11
6,3.500,0.200,4,24
6,3.500,0.200,5,48
6,3.500,0.200,1,48
6,3.500,0.200,1,23
6,3.500,0.200,4,18
6,3.500,0.200,6,59
6,3.500,0.200,1,22
6,3.500,0.200,3,19
6,3.500,0.200,4,22
6,3.500,0.200,2,32
6,3.500,0.200,2,21
6,3.500,0.200,2,17
6,3.500,0.200,6,42
6,3.500,0.200,3,37
6,3.500,0.200,5,51
6,3.500,0.200,4,25
6,3.500,0.200,6,41
6,3.500,0.200,11,31
6,3.500,0.200,5,47
6,3.500,0.200,4,18
6,3.500,0.200,3,49
6,3.500,0.200,2,44
6,3.500,0.200,2,18
6,3.500,0.200,2,42
6,3.500,0.200,1,25
6,3.500,0.200,1,29
6,3.500,0.200,3,32
6,3.500,0.200,2,39
6,3.500,0.200,2,32
6,3.500,0.200,4,25
6,3.500,0.200,1,48
6,3.500,0.200,3,25
6,3.500,0.200,2,11
6,3.500,0.200,2,17
6,3.500,0.200,4,10
6,3.500,0.200,1,16
6,3.500,0.200,4,33
6,3.500,0.200,7,22
6,3.500,0.200,4,24
6,3.500,0.200,5,26
6,3.500,0.200,1,22
6,3.500,0.200,2,35
6,3.500,0.200,1,16
6,3.500,0.200,3,20
6,3.500,0.200,2,25
6,3.500,0.200,1,21
6,3.500,0.200,5,30
6,3.500,0.200,4,37
6,3.500,0.200,3,19
6,3.500,0.200,2,16
6,3.500,0.200,5,26
6,3.500,0.200,4,27
6,3.500,0.200,1,19
6,3.500,0.200,2,33
6,3.500,0.200,1,38
6,3.500,0.200,1,16
6,3.500,0.200,3,27
6,3.500,0.200,4,35
6,3.500,0.200,9,36
6,3.500,0.200,3,31
6,3.500,0.200,7,39
6,3.500,0.200,1,15
6,3.500,0.200,3,30
6,3.500,0.200,6,18
6,3.500,0.200,5,29
6,3.500,0.200,4,24
6,3.500,0.200,4,20
6,3.500,0.200,1,17
6,3.500,0.200,5,40
6,3.500,0.200,1,37
